Area Type,Availability,Location,Size,Society,Total Sqft,Balcony,Price,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,1.0,39.07,5/18/22,2.0,10000.0,1100.0,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,3.0,120.0,5/13/22,2.0,20000.0,800.0,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,3.0,62.0,5/16/22,2.0,17000.0,1000.0,1 out of 3,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,1.0,95.0,7/4/22,2.0,10000.0,800.0,1 out of 2,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,1.0,51.0,5/9/22,2.0,7500.0,850.0,1 out of 2,Carpet Area,South Dum Dum,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,1.0,38.0,4/29/22,2.0,7000.0,600.0,Ground out of 1,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,,204.0,6/21/22,2.0,10000.0,700.0,Ground out of 4,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,2.0,Contact Agent
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,,600.0,6/21/22,1.0,5000.0,250.0,1 out of 2,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,1.0,Contact Agent
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,1.0,63.25,6/7/22,2.0,26000.0,800.0,1 out of 2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2.0,Contact Agent
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,,370.0,6/20/22,2.0,10000.0,1000.0,1 out of 3,Carpet Area,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2.0,70.0,5/23/22,3.0,25000.0,1200.0,1 out of 4,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,3.0,295.0,6/7/22,1.0,5000.0,400.0,1 out of 1,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Agent
